Date,Open,High,Low,Close,Adj Close,Volume
1999-01-04,92.500000,93.250000,90.750000,91.500000,59.220390,8149600
1999-01-05,91.500000,94.937500,91.406250,94.812500,61.364326,9907600
1999-01-06,95.156250,96.375000,94.250000,94.375000,61.081169,9539600
1999-01-07,93.968750,96.187500,93.500000,95.093750,61.546329,8306800
1999-01-08,95.500000,96.000000,92.812500,93.781250,60.696880,9176800
1999-01-11,94.500000,94.718750,93.500000,94.625000,61.242947,7261600
1999-01-12,95.000000,95.000000,92.000000,92.531250,59.887863,6763600
1999-01-13,91.500000,93.718750,89.750000,92.750000,60.029419,9905400
1999-01-14,91.812500,92.468750,89.437500,90.312500,58.451809,9000000
1999-01-15,91.125000,92.750000,90.625000,92.468750,59.847408,6789600
1999-01-19,93.875000,96.250000,92.750000,96.125000,62.213783,8398600
1999-01-20,97.500000,99.625000,96.312500,97.250000,62.941906,12634600
1999-01-21,98.812500,99.125000,96.031250,98.500000,63.750908,20404600
1999-01-22,92.000000,92.750000,88.812500,89.875000,58.168652,38085000
1999-01-25,91.125000,91.312500,86.750000,91.000000,58.896767,23375400
1999-01-26,91.875000,93.250000,90.937500,92.812500,60.069862,19097000
1999-01-27,93.406250,93.406250,88.906250,89.156250,57.703476,17833200
1999-01-28,89.750000,90.656250,88.781250,89.343750,57.824829,11941200
1999-01-29,89.343750,91.968750,89.250000,91.625000,59.301285,10115800
1999-02-01,92.250000,92.250000,89.750000,89.875000,58.168652,7407200
1999-02-02,89.781250,90.343750,87.500000,88.375000,57.197834,11727200
1999-02-03,87.937500,88.500000,86.531250,87.625000,56.712421,11196600
1999-02-04,87.593750,88.250000,84.625000,84.781250,54.871902,11615200
1999-02-05,85.218750,85.500000,82.281250,83.000000,53.719040,16957600
1999-02-08,83.500000,84.437500,81.562500,83.500000,54.186283,11986600
1999-02-09,83.500000,84.750000,80.875000,81.375000,52.807293,10811200
1999-02-10,81.250000,84.437500,81.250000,84.437500,54.794666,10853400
1999-02-11,85.125000,89.406250,84.062500,89.250000,57.917664,12564800
1999-02-12,88.125000,88.125000,85.593750,86.375000,56.051975,11666200
1999-02-16,87.500000,89.125000,85.968750,86.250000,55.970871,9019800
1999-02-17,85.250000,87.156250,84.406250,85.250000,55.321934,8977000
1999-02-18,86.000000,87.250000,85.093750,87.125000,56.538670,8687800
1999-02-19,87.187500,87.375000,85.500000,85.812500,55.686985,7393200
1999-02-22,86.125000,88.968750,85.531250,88.968750,57.735165,9200200
1999-02-23,89.000000,90.000000,87.875000,88.468750,57.410664,9109200
1999-02-24,88.625000,89.843750,86.562500,86.875000,56.376446,8637400
1999-02-25,86.000000,86.968750,84.656250,86.812500,56.335876,10469600
1999-02-26,85.500000,85.937500,83.250000,84.875000,55.078579,14798000
1999-03-01,84.750000,84.750000,82.562500,84.187500,54.632442,9590800
1999-03-02,85.250000,85.468750,83.437500,83.875000,54.429642,8743600
1999-03-03,84.250000,84.468750,82.531250,83.375000,54.105175,7743000
1999-03-04,86.750000,88.500000,85.062500,85.500000,55.484169,21501000
1999-03-05,86.937500,89.468750,86.875000,89.187500,57.877110,11606200
1999-03-08,89.312500,90.000000,88.531250,89.437500,58.039352,7559800
1999-03-09,89.937500,92.437500,89.281250,91.093750,59.114155,10019000
1999-03-10,90.812500,91.437500,90.125000,90.750000,58.891090,7009800
1999-03-11,91.187500,92.968750,90.750000,91.437500,59.337212,8591200
1999-03-12,91.343750,91.718750,89.000000,89.000000,57.755432,9683200
1999-03-15,89.593750,91.156250,88.562500,91.000000,59.053318,7902800
1999-03-16,91.000000,91.750000,90.093750,90.500000,58.728840,6606000
1999-03-17,89.750000,90.000000,89.000000,89.031250,57.775703,6915400
1999-03-18,88.750000,88.875000,86.468750,88.812500,57.633774,14505000
1999-03-19,88.312500,89.000000,84.000000,84.281250,54.693249,19496800
1999-03-22,84.343750,85.250000,83.312500,83.500000,54.186283,11896600
1999-03-23,83.500000,83.812500,82.000000,82.687500,53.659027,10015000
1999-03-24,84.000000,85.250000,83.250000,84.750000,54.997478,11821000
1999-03-25,86.000000,86.625000,84.750000,85.656250,55.585526,9828800
1999-03-26,85.531250,87.937500,85.281250,86.187500,55.930271,8266400
1999-03-29,87.500000,89.375000,87.187500,88.937500,57.714863,8098200
1999-03-30,88.500000,90.625000,88.437500,89.281250,57.937954,7466800
1999-03-31,90.000000,90.750000,88.250000,88.625000,57.512127,5835200
1999-04-01,88.656250,88.843750,87.343750,88.500000,57.430969,5310800
1999-04-05,89.500000,91.968750,89.281250,91.968750,59.681969,9238400
1999-04-06,91.562500,93.375000,91.093750,91.500000,59.377781,8742800
1999-04-07,92.000000,93.812500,89.531250,93.250000,60.513412,11662000
1999-04-08,93.000000,94.031250,91.156250,93.500000,60.675671,8531000
1999-04-09,92.812500,94.031250,92.000000,93.156250,60.452572,6111800
1999-04-12,91.750000,91.812500,90.531250,91.718750,59.519749,8979800
1999-04-13,92.000000,92.000000,89.968750,90.000000,58.404404,6846400
1999-04-14,91.375000,91.937500,88.812500,89.687500,58.201576,7261000
1999-04-15,89.750000,89.750000,86.750000,88.875000,57.674313,8330400
1999-04-16,88.750000,88.750000,85.062500,85.187500,55.281338,11928800
1999-04-19,85.437500,86.156250,82.031250,83.375000,54.105175,15383600
1999-04-20,83.500000,84.875000,81.500000,84.875000,55.078579,14716000
1999-04-21,84.875000,85.937500,82.562500,85.937500,55.768078,13161600
1999-04-22,98.625000,99.375000,96.343750,97.250000,63.109154,39169800
1999-04-23,96.687500,103.281250,96.468750,99.875000,64.812645,20751000
1999-04-26,102.375000,105.375000,101.156250,104.937500,68.097878,18666000
1999-04-27,106.000000,107.625000,104.250000,106.000000,68.787376,20929200
1999-04-28,104.625000,105.250000,101.750000,102.500000,66.516083,11341800
1999-04-29,102.500000,104.500000,101.718750,102.406250,66.455261,11279200
1999-04-30,104.250000,105.500000,101.718750,104.593750,67.874794,9031000
1999-05-03,104.000000,106.125000,103.156250,106.125000,68.868507,9032200
1999-05-04,106.125000,107.937500,105.687500,106.000000,68.787376,11132400
1999-05-05,106.062500,106.250000,103.656250,106.062500,68.827942,8472400
1999-05-06,105.937500,107.000000,104.000000,104.625000,68.049065,8339600
1999-05-07,105.625000,108.750000,105.531250,108.625000,70.650726,9986800
1999-05-10,108.625000,110.937500,108.531250,109.312500,71.097870,9548400
1999-05-11,110.250000,110.937500,108.750000,110.500000,71.870239,8372800
1999-05-12,110.562500,114.218750,107.750000,112.750000,73.333641,12066800
1999-05-13,117.000000,123.000000,117.000000,123.000000,80.000351,24331400
1999-05-14,120.750000,121.750000,118.000000,119.625000,77.805214,18073800
1999-05-17,118.000000,119.812500,116.000000,118.750000,77.236107,11560400
1999-05-18,119.125000,120.312500,118.500000,119.250000,77.561287,8633800
1999-05-19,119.125000,119.375000,116.531250,117.937500,76.707680,7791600
1999-05-20,117.812500,118.187500,116.250000,116.437500,75.732018,6441800
1999-05-21,116.375000,116.687500,114.593750,115.187500,74.919037,6899800
1999-05-24,115.156250,115.343750,110.875000,111.875000,72.764542,8598200
1999-05-25,111.250000,113.000000,110.500000,110.593750,71.931198,9405000
1999-05-26,111.500000,118.312500,110.718750,118.125000,76.829620,16628000
1999-05-27,116.687500,116.875000,112.625000,116.000000,75.447472,10552500
1999-05-28,116.000000,116.750000,114.187500,116.000000,75.447472,6379500
1999-06-01,113.625000,113.875000,111.187500,112.000000,72.845848,7158500
1999-06-02,111.750000,114.625000,109.437500,113.750000,73.984024,7005000
1999-06-03,114.562500,115.312500,111.562500,112.937500,73.455605,5112600
1999-06-04,113.625000,116.000000,112.437500,116.000000,75.447472,5258800
1999-06-07,118.125000,121.687500,117.500000,120.500000,78.374306,6663900
1999-06-08,119.875000,119.875000,116.062500,116.625000,75.853981,7395400
1999-06-09,116.625000,120.875000,116.562500,117.000000,76.097862,5569600
1999-06-10,115.875000,116.750000,113.312500,115.250000,74.959663,4851500
1999-06-11,115.062500,116.500000,112.562500,114.312500,74.349937,4295200
1999-06-14,115.875000,116.000000,114.000000,115.500000,75.122246,4896700
1999-06-15,117.500000,118.312500,114.750000,115.875000,75.366180,4884900
1999-06-16,119.875000,121.500000,118.875000,120.687500,78.496269,6963100
1999-06-17,119.250000,122.000000,119.000000,120.187500,78.171074,4675900
1999-06-18,120.187500,121.437500,119.750000,120.750000,78.536919,9159600
1999-06-21,122.875000,125.750000,122.625000,124.750000,81.138557,6466300
1999-06-22,123.875000,127.750000,123.000000,123.375000,80.244240,6791300
1999-06-23,122.250000,124.187500,121.750000,122.937500,79.959717,4418800
1999-06-24,123.125000,124.437500,121.562500,122.562500,79.715805,5231200
1999-06-25,123.312500,125.750000,123.125000,123.125000,80.081627,4563600
1999-06-28,124.000000,124.687500,122.187500,122.562500,79.715805,6233300
1999-06-29,123.000000,125.312500,122.750000,124.625000,81.057251,5223800
1999-06-30,124.812500,132.000000,124.375000,129.250000,84.065399,8257300
1999-07-01,130.000000,131.312500,128.000000,131.000000,85.203598,5911600
1999-07-02,130.875000,132.250000,129.500000,132.250000,86.016647,3543600
1999-07-06,132.500000,133.875000,130.812500,131.000000,85.203598,5709300
1999-07-07,131.000000,133.500000,130.625000,132.812500,86.382484,6648900
1999-07-08,132.500000,135.500000,132.125000,134.000000,87.154823,6092900
1999-07-09,134.000000,137.437500,133.875000,137.375000,89.349960,4795900
1999-07-12,137.437500,138.687500,135.375000,137.812500,89.634537,5046900
1999-07-13,135.750000,139.187500,135.750000,137.875000,89.675179,5645700
1999-07-14,138.312500,138.500000,136.187500,137.250000,89.268677,4724000
1999-07-15,138.000000,138.125000,134.500000,136.312500,88.658897,5583600
1999-07-16,136.375000,137.500000,135.375000,136.250000,88.618286,5123100
1999-07-19,136.500000,138.875000,133.687500,134.625000,87.561356,7626500
1999-07-20,132.000000,132.125000,126.062500,128.250000,83.414986,14307400
1999-07-21,127.500000,129.750000,126.875000,129.000000,83.902824,8792300
1999-07-22,127.625000,128.500000,123.500000,123.875000,80.569473,8869100
1999-07-23,124.000000,125.437500,122.625000,124.812500,81.179199,6964200
1999-07-26,123.625000,125.125000,122.750000,123.000000,80.000351,5519900
1999-07-27,125.000000,126.500000,123.562500,126.250000,82.114174,6513500
1999-07-28,126.375000,128.687500,125.812500,128.375000,83.496307,5287600
1999-07-29,126.250000,126.625000,124.625000,125.375000,81.545052,5707500
1999-07-30,125.937500,126.687500,124.375000,125.687500,81.748322,4324900
1999-08-02,124.000000,126.000000,121.812500,122.250000,79.512543,4565100
1999-08-03,122.750000,123.125000,118.187500,119.375000,77.642601,6855900
1999-08-04,120.000000,121.875000,118.062500,118.500000,77.073494,5754800
1999-08-05,120.000000,124.000000,117.562500,123.187500,80.122276,7364500
1999-08-06,122.000000,127.000000,121.000000,123.500000,80.403893,6142600
1999-08-09,123.625000,124.437500,121.125000,122.187500,79.549332,4048100
1999-08-10,121.500000,122.500000,118.937500,119.312500,77.677643,5846200
1999-08-11,120.125000,123.750000,119.812500,123.312500,80.281792,5543000
1999-08-12,123.750000,123.812500,121.000000,121.125000,78.857674,5027800
1999-08-13,122.750000,124.500000,122.000000,123.375000,80.322495,4400400
1999-08-16,125.000000,127.875000,124.500000,127.375000,82.926651,4889000
1999-08-17,128.500000,128.562500,126.562500,128.500000,83.659096,5136400
1999-08-18,128.375000,129.625000,123.500000,123.875000,80.648026,6607000
1999-08-19,123.875000,124.875000,121.250000,122.937500,80.037636,7583300
1999-08-20,124.375000,124.375000,121.062500,121.750000,79.264534,5962000
1999-08-23,122.750000,124.875000,122.312500,124.437500,81.014221,6043500
1999-08-24,123.375000,123.625000,121.000000,122.000000,79.427330,8442100
1999-08-25,122.000000,124.062500,120.875000,122.375000,79.671463,6463000
1999-08-26,122.625000,125.875000,122.062500,122.937500,80.037636,6245300
1999-08-27,125.000000,125.187500,122.750000,124.000000,80.729408,4354600
1999-08-30,124.250000,125.625000,122.687500,123.187500,80.200424,4773000
1999-08-31,124.375000,126.000000,122.875000,124.562500,81.095619,6214400
1999-09-01,125.625000,128.500000,125.500000,127.250000,82.845299,6264400
1999-09-02,126.500000,126.750000,124.250000,125.875000,81.950081,5583100
1999-09-03,128.375000,129.750000,128.000000,128.859375,83.893066,5282900
1999-09-07,128.875000,132.687500,128.375000,132.000000,85.937759,7552900
1999-09-08,131.500000,133.937500,130.687500,130.750000,85.123940,7206100
1999-09-09,132.500000,136.500000,131.625000,134.750000,87.728111,8423100
1999-09-10,137.500000,137.687500,134.375000,135.000000,87.890846,5089300
1999-09-13,134.625000,135.562500,132.000000,132.375000,86.181862,4442300
1999-09-14,132.000000,133.562500,131.937500,133.312500,86.792244,4590700
1999-09-15,134.000000,135.000000,131.937500,131.937500,85.897064,5655400
1999-09-16,132.000000,132.375000,129.562500,130.000000,84.635643,6092600
1999-09-17,131.375000,131.437500,123.750000,125.375000,81.624542,14857800
1999-09-20,126.500000,130.875000,126.000000,130.125000,84.717033,7543000
1999-09-21,128.750000,129.625000,126.250000,127.125000,82.763916,6983600
1999-09-22,127.187500,127.250000,124.375000,125.187500,81.502472,8091900
1999-09-23,127.500000,127.812500,121.437500,122.000000,79.427330,7590000
1999-09-24,120.500000,125.000000,120.437500,125.000000,81.380440,7450800
1999-09-27,126.625000,126.812500,121.375000,123.000000,80.078354,7075100
1999-09-28,123.000000,124.750000,121.687500,123.500000,80.403893,7103400
1999-09-29,122.062500,122.812500,120.000000,120.062500,78.165916,8775600
1999-09-30,121.000000,122.250000,119.625000,121.000000,78.776260,6642500
1999-10-01,121.000000,121.062500,115.500000,117.750000,76.660370,10558900
1999-10-04,118.000000,120.000000,116.750000,119.875000,78.043816,7042000
1999-10-05,122.000000,123.250000,119.062500,122.000000,79.427330,6435700
1999-10-06,122.250000,122.750000,119.062500,119.187500,77.596237,8054900
1999-10-07,119.125000,119.187500,115.062500,116.375000,75.765175,14240000
1999-10-08,115.000000,115.062500,111.062500,113.500000,73.893463,17867900
1999-10-11,113.500000,116.687500,113.125000,114.250000,74.381721,7827100
1999-10-12,114.000000,114.875000,110.000000,110.000000,71.614777,8274900
1999-10-13,110.812500,110.875000,105.000000,105.062500,68.400238,15015000
1999-10-14,106.500000,107.250000,104.687500,107.000000,69.661613,14178500
1999-10-15,106.437500,108.875000,103.875000,107.875000,70.231308,13920700
1999-10-18,108.000000,109.000000,104.687500,107.000000,69.661613,9678300
1999-10-19,107.000000,108.500000,105.437500,107.125000,69.743057,9184700
1999-10-20,108.625000,113.062500,107.000000,107.000000,69.661613,11376700
