Date,Open,High,Low,Close,Adj Close,Volume
2004-06-24,5.250000,5.275000,5.150000,5.175000,3.958066,384016538
2004-06-25,5.200000,5.225000,5.150000,5.175000,3.958066,105626000
2004-06-28,5.150000,5.325000,5.150000,5.300000,4.053672,176515000
2004-06-29,5.300000,5.350000,5.250000,5.300000,4.053672,96787600
2004-06-30,5.325000,5.350000,5.250000,5.275000,4.034552,55040000
2004-07-01,null,null,null,null,null,null
2004-07-02,5.200000,5.275000,5.200000,5.225000,3.996310,32619000
2004-07-05,null,null,null,null,null,null
2004-07-06,5.175000,5.225000,5.175000,5.200000,3.977187,24750206
2004-07-07,5.175000,5.200000,5.150000,5.200000,3.977187,47246000
2004-07-08,5.200000,5.225000,5.150000,5.175000,3.958066,175869444
2004-07-09,5.150000,5.175000,5.150000,5.175000,3.958066,68392476
2004-07-12,5.175000,5.175000,5.150000,5.175000,3.958066,28424000
2004-07-13,5.150000,5.175000,5.150000,5.150000,3.938946,23083000
2004-07-14,5.175000,5.175000,4.875000,4.925000,3.766855,227739000
2004-07-15,4.875000,4.875000,4.725000,4.800000,3.671251,45852000
2004-07-16,4.725000,4.825000,4.725000,4.750000,3.633008,28298000
2004-07-19,4.750000,5.025000,4.750000,4.975000,3.805099,39300000
2004-07-20,4.975000,4.975000,4.900000,4.900000,3.747735,5656000
2004-07-21,4.950000,4.975000,4.900000,4.925000,3.766855,15861000
2004-07-22,4.900000,4.900000,4.850000,4.900000,3.747735,15768300
2004-07-23,4.850000,4.900000,4.850000,4.900000,3.747735,8524000
2004-07-26,4.875000,4.900000,4.825000,4.825000,3.690371,25678000
2004-07-27,4.800000,4.850000,4.800000,4.825000,3.690371,8009000
2004-07-28,4.850000,4.850000,4.800000,4.800000,3.671251,3636000
2004-07-29,4.800000,4.850000,4.800000,4.825000,3.690371,9401000
2004-07-30,4.825000,5.000000,4.825000,5.000000,3.824219,30637000
2004-08-02,4.950000,5.000000,4.900000,5.000000,3.824219,18628000
2004-08-03,5.000000,5.100000,4.950000,5.100000,3.900703,32990000
2004-08-04,5.075000,5.075000,4.975000,5.050000,3.862461,12945000
2004-08-05,5.000000,5.050000,4.975000,4.975000,3.805099,9394000
2004-08-06,4.975000,5.025000,4.950000,5.025000,3.843340,5884000
2004-08-09,4.975000,5.050000,4.950000,5.000000,3.824219,9131000
2004-08-10,5.000000,5.025000,4.950000,5.025000,3.843340,3945000
2004-08-11,5.050000,5.050000,4.975000,4.975000,3.805099,6425000
2004-08-12,4.975000,5.025000,4.975000,5.025000,3.843340,6494000
2004-08-13,5.000000,5.075000,5.000000,5.050000,3.862461,5652000
2004-08-16,5.200000,5.200000,5.025000,5.075000,3.881582,20109000
2004-08-17,5.075000,5.150000,5.075000,5.125000,3.919823,13369000
2004-08-18,5.100000,5.175000,5.075000,5.150000,3.938946,7745000
2004-08-19,5.175000,5.250000,5.175000,5.250000,4.015430,28909000
2004-08-20,5.225000,5.250000,5.200000,5.200000,3.977187,4362784
2004-08-23,5.200000,5.225000,5.100000,5.125000,3.919823,12229000
2004-08-24,5.100000,5.100000,4.975000,5.050000,3.862461,24529000
2004-08-25,5.000000,5.200000,5.000000,5.000000,3.824219,12427000
2004-08-26,5.225000,5.300000,5.050000,5.050000,3.862461,33784000
2004-08-27,5.075000,5.125000,5.025000,5.025000,3.843340,18005000
2004-08-30,5.025000,5.150000,5.025000,5.075000,3.881582,10894000
2004-08-31,5.075000,5.125000,5.050000,5.100000,3.900703,7145300
2004-09-01,5.075000,5.125000,5.050000,5.075000,3.881582,14133000
2004-09-02,5.075000,5.250000,5.050000,5.200000,3.977187,32772200
2004-09-03,5.175000,5.275000,5.125000,5.250000,4.015430,42047000
2004-09-06,5.250000,5.250000,5.175000,5.200000,3.977187,24242000
2004-09-07,5.200000,5.525000,5.175000,5.500000,4.206640,132917000
2004-09-08,5.525000,5.625000,5.450000,5.575000,4.264005,90462000
2004-09-09,5.525000,5.650000,5.500000,5.500000,4.206640,48849000
2004-09-10,5.450000,5.525000,5.375000,5.450000,4.168397,44665000
2004-09-13,5.500000,5.500000,5.375000,5.475000,4.187521,16933000
2004-09-14,5.450000,5.575000,5.425000,5.575000,4.264005,40504000
2004-09-15,5.550000,5.575000,5.500000,5.550000,4.244883,10964000
2004-09-16,5.525000,5.775000,5.525000,5.775000,4.416972,62951000
2004-09-17,5.775000,5.875000,5.750000,5.875000,4.493458,92746048
2004-09-20,5.900000,5.925000,5.775000,5.875000,4.493458,47419000
2004-09-21,5.850000,5.900000,5.750000,5.875000,4.493458,32329000
2004-09-22,5.825000,5.875000,5.675000,5.725000,4.378730,20585000
2004-09-23,5.675000,5.800000,5.650000,5.800000,4.436094,32885000
2004-09-24,5.750000,5.775000,5.625000,5.675000,4.340487,24899000
2004-09-27,5.625000,5.725000,5.575000,5.700000,4.359611,14161000
2004-09-28,5.700000,5.700000,5.575000,5.600000,4.283124,11860000
2004-09-29,null,null,null,null,null,null
2004-09-30,5.600000,5.775000,5.600000,5.725000,4.378730,22658400
2004-10-01,null,null,null,null,null,null
2004-10-04,5.850000,5.925000,5.800000,5.850000,4.474337,39746000
2004-10-05,5.800000,5.975000,5.775000,5.900000,4.512578,27634000
2004-10-06,5.900000,6.050000,5.875000,6.025000,4.608184,52813356
2004-10-07,6.000000,6.050000,5.950000,6.000000,4.589063,35339000
2004-10-08,5.950000,6.050000,5.875000,6.000000,4.589063,22706000
2004-10-11,6.000000,6.075000,5.925000,6.025000,4.608184,18458000
2004-10-12,5.975000,6.025000,5.925000,5.975000,4.569942,7288000
2004-10-13,6.025000,6.100000,5.975000,6.050000,4.627306,38658000
2004-10-14,5.950000,5.975000,5.875000,5.975000,4.569942,18955076
2004-10-15,5.900000,6.350000,5.875000,6.350000,4.856758,50013000
2004-10-18,6.100000,6.125000,6.025000,6.050000,4.627306,55546000
2004-10-19,6.075000,6.075000,5.975000,6.000000,4.589063,25837000
2004-10-20,5.950000,5.975000,5.825000,5.900000,4.512578,31766440
2004-10-21,5.900000,5.900000,5.675000,5.775000,4.416972,12816176
2004-10-22,null,null,null,null,null,null
2004-10-25,5.700000,5.750000,5.650000,5.700000,4.359611,12890000
2004-10-26,5.725000,5.825000,5.725000,5.775000,4.416972,13882800
2004-10-27,5.825000,5.850000,5.750000,5.775000,4.416972,24940000
2004-10-28,5.825000,5.875000,5.750000,5.850000,4.474337,23705334
2004-10-29,5.950000,6.175000,5.925000,6.125000,4.684669,84898000
2004-11-01,6.100000,6.100000,5.975000,6.025000,4.608184,46547200
2004-11-02,6.025000,6.050000,5.975000,5.975000,4.569942,36191000
2004-11-03,5.950000,6.025000,5.950000,5.975000,4.569942,24995000
2004-11-04,6.050000,6.050000,5.975000,5.975000,4.569942,10598000
2004-11-05,6.050000,6.150000,6.025000,6.050000,4.627306,20972000
2004-11-08,6.100000,6.225000,6.050000,6.200000,4.742031,29429000
2004-11-09,6.200000,6.300000,6.200000,6.300000,4.818516,32357000
2004-11-10,6.300000,6.500000,6.300000,6.500000,4.971485,60376200
2004-11-11,6.475000,6.475000,6.350000,6.375000,4.875880,24740000
2004-11-12,6.475000,6.600000,6.425000,6.600000,5.047970,49650000
2004-11-15,6.600000,6.750000,6.525000,6.700000,5.124452,28111200
2004-11-16,6.675000,6.800000,6.650000,6.675000,5.105332,42059000
2004-11-17,6.650000,6.725000,6.575000,6.625000,5.067090,18474000
2004-11-18,6.625000,6.625000,6.500000,6.550000,5.009727,20497000
2004-11-19,6.550000,6.600000,6.475000,6.550000,5.009727,21298000
2004-11-22,6.450000,6.550000,6.375000,6.475000,4.952364,22724000
2004-11-23,6.500000,6.650000,6.450000,6.625000,5.067090,14455000
2004-11-24,6.600000,6.775000,6.575000,6.625000,5.067090,26313500
2004-11-25,6.650000,6.750000,6.550000,6.650000,5.086213,16856000
2004-11-26,6.650000,6.850000,6.625000,6.750000,5.162695,26585000
2004-11-29,6.775000,6.925000,6.775000,6.850000,5.239179,32977000
2004-11-30,6.925000,6.950000,6.850000,6.900000,5.277422,16773000
2004-12-01,6.850000,6.875000,6.725000,6.850000,5.239179,17246000
2004-12-02,6.925000,6.950000,6.850000,6.850000,5.239179,13786800
2004-12-03,6.850000,6.925000,6.800000,6.875000,5.258300,12578600
2004-12-06,6.925000,6.925000,6.750000,6.825000,5.220058,10474664
2004-12-07,6.800000,6.875000,6.750000,6.775000,5.181816,12761000
2004-12-08,6.750000,6.900000,6.700000,6.700000,5.124452,25172000
2004-12-09,6.700000,6.775000,6.675000,6.700000,5.124452,14789000
2004-12-10,6.650000,6.650000,6.375000,6.475000,4.952364,41702000
2004-12-13,6.300000,6.375000,6.225000,6.325000,4.837636,32111200
2004-12-14,6.375000,6.400000,6.275000,6.300000,4.818516,13218000
2004-12-15,6.375000,6.400000,6.325000,6.375000,4.875880,23735400
2004-12-16,6.375000,6.475000,6.350000,6.450000,4.933242,20029000
2004-12-17,6.425000,6.575000,6.425000,6.575000,5.028847,66835400
2004-12-20,6.550000,6.700000,6.550000,6.700000,5.124452,19657000
2004-12-21,6.675000,6.750000,6.625000,6.725000,5.143575,14654000
2004-12-22,6.725000,6.750000,6.550000,6.600000,5.047970,11936000
2004-12-23,6.600000,6.700000,6.550000,6.675000,5.105332,6020000
2004-12-24,6.675000,6.675000,6.600000,6.675000,5.105332,3352000
2004-12-27,null,null,null,null,null,null
2004-12-28,6.600000,6.750000,6.600000,6.725000,5.143575,9031000
2004-12-29,6.750000,6.775000,6.625000,6.650000,5.086213,3271000
2004-12-30,6.625000,6.625000,6.425000,6.500000,4.971485,15527000
2004-12-31,6.500000,6.700000,6.475000,6.700000,5.124452,7658000
2005-01-03,6.600000,6.625000,6.525000,6.575000,5.028847,5597000
2005-01-04,6.600000,6.600000,6.450000,6.500000,4.971485,11295000
2005-01-05,6.400000,6.400000,6.275000,6.375000,4.875880,20474000
2005-01-06,6.350000,6.475000,6.300000,6.300000,4.818516,13144000
2005-01-07,6.350000,6.400000,6.275000,6.375000,4.875880,14916000
2005-01-10,6.425000,6.525000,6.275000,6.475000,4.952364,12477000
2005-01-11,6.575000,6.600000,6.500000,6.550000,5.009727,22270400
2005-01-12,6.550000,6.550000,6.450000,6.550000,5.009727,18339638
2005-01-13,6.525000,6.650000,6.525000,6.625000,5.067090,13768000
2005-01-14,6.550000,6.575000,6.425000,6.450000,4.933242,14727348
2005-01-17,6.425000,6.525000,6.400000,6.400000,4.895000,14062600
2005-01-18,6.425000,6.425000,6.325000,6.400000,4.895000,21302000
2005-01-19,6.425000,6.475000,6.375000,6.400000,4.895000,10593336
2005-01-20,6.375000,6.425000,6.325000,6.325000,4.837636,13706236
2005-01-21,6.350000,6.375000,6.300000,6.325000,4.837636,9285600
2005-01-24,6.325000,6.350000,6.175000,6.175000,4.722911,22957780
2005-01-25,6.175000,6.250000,6.100000,6.225000,4.761153,18740000
2005-01-26,6.250000,6.325000,6.250000,6.300000,4.818516,12581000
2005-01-27,6.350000,6.500000,6.350000,6.400000,4.895000,15402436
2005-01-28,6.400000,6.475000,6.400000,6.400000,4.895000,4621400
2005-01-31,6.375000,6.475000,6.350000,6.475000,4.952364,16484210
2005-02-01,6.475000,6.475000,6.350000,6.375000,4.875880,10018000
2005-02-02,6.400000,6.450000,6.375000,6.450000,4.933242,12182000
2005-02-03,6.450000,6.450000,6.325000,6.375000,4.875880,15204380
2005-02-04,6.400000,6.450000,6.400000,6.425000,4.914122,12124000
2005-02-07,6.450000,6.525000,6.450000,6.475000,4.952364,20905106
2005-02-08,6.500000,6.650000,6.500000,6.625000,5.067090,21797000
2005-02-14,6.725000,6.725000,6.600000,6.650000,5.086213,17996000
2005-02-15,6.575000,6.650000,6.550000,6.650000,5.086213,10909358
2005-02-16,6.600000,6.650000,6.500000,6.575000,5.028847,8450800
2005-02-17,6.550000,6.550000,6.425000,6.425000,4.914122,16640000
2005-02-18,6.425000,6.550000,6.400000,6.525000,4.990606,9762000
2005-02-21,6.525000,6.575000,6.525000,6.575000,5.028847,6257000
2005-02-22,6.550000,6.600000,6.500000,6.525000,4.990606,6744000
2005-02-23,6.450000,6.450000,6.350000,6.375000,4.875880,30455000
2005-02-24,6.400000,6.425000,6.350000,6.400000,4.895000,7455216
2005-02-25,6.400000,6.450000,6.375000,6.425000,4.914122,10092000
2005-02-28,6.450000,6.575000,6.450000,6.550000,5.009727,18446204
2005-03-01,6.525000,6.600000,6.475000,6.575000,5.028847,13386000
2005-03-02,6.600000,6.600000,6.450000,6.525000,4.990606,20610000
2005-03-03,6.500000,6.550000,6.425000,6.525000,4.990606,8882000
2005-03-04,6.525000,6.550000,6.475000,6.550000,5.009727,13603000
2005-03-07,6.525000,6.550000,6.500000,6.525000,4.990606,5904000
2005-03-08,6.525000,6.575000,6.500000,6.525000,4.990606,16080000
2005-03-09,6.525000,6.575000,6.525000,6.525000,4.990606,6540000
2005-03-10,6.525000,6.525000,6.425000,6.475000,4.952364,13848800
2005-03-11,6.475000,6.500000,6.425000,6.450000,4.933242,7798000
2005-03-14,6.500000,6.500000,6.400000,6.425000,4.914122,5898000
2005-03-15,6.450000,6.450000,6.350000,6.375000,4.875880,13529000
2005-03-16,6.375000,6.425000,6.300000,6.375000,4.875880,8644000
2005-03-17,6.350000,6.425000,6.300000,6.375000,4.875880,9137400
2005-03-18,6.400000,6.425000,6.350000,6.375000,4.875880,8249000
2005-03-21,6.375000,6.400000,6.350000,6.375000,4.875880,3922000
2005-03-22,6.375000,6.375000,6.300000,6.300000,4.818516,8687002
2005-03-23,6.300000,6.300000,6.175000,6.225000,4.761153,14805000
2005-03-24,6.225000,6.250000,6.200000,6.200000,4.742031,11439000
2005-03-29,6.225000,6.225000,6.150000,6.150000,4.703790,14003000
2005-03-30,6.150000,6.175000,6.100000,6.175000,4.722911,8827000
2005-03-31,6.200000,6.225000,6.150000,6.150000,4.703790,9410000
2005-04-01,6.150000,6.225000,6.150000,6.200000,4.742031,5639000
2005-04-04,6.200000,6.200000,6.125000,6.150000,4.703790,6749000
2005-04-06,6.175000,6.225000,6.125000,6.175000,4.722911,11385000
2005-04-07,6.175000,6.200000,6.150000,6.150000,4.703790,6826680
2005-04-08,6.175000,6.225000,6.175000,6.175000,4.722911,4573000
2005-04-11,6.175000,6.225000,6.175000,6.200000,4.742031,2119000
2005-04-12,6.175000,6.200000,6.125000,6.150000,4.703790,8409000
2005-04-13,6.150000,6.225000,6.150000,6.200000,4.742031,5596750
2005-04-14,6.175000,6.200000,6.150000,6.150000,4.703790,5441000
2005-04-15,6.150000,6.150000,6.050000,6.075000,4.646426,13718000
2005-04-18,6.000000,6.050000,5.875000,5.875000,4.493458,18213000
2005-04-19,6.000000,6.050000,5.975000,6.000000,4.589063,9276000
2005-04-20,6.000000,6.025000,5.950000,6.000000,4.589063,18735000
2005-04-21,5.875000,5.950000,5.850000,5.950000,4.550821,15127000
2005-04-22,6.000000,6.100000,5.950000,6.075000,4.646426,21462000
2005-04-25,6.075000,6.100000,6.025000,6.075000,4.646426,8581000
2005-04-26,6.075000,6.150000,6.050000,6.100000,4.665548,18720000
2005-04-27,6.025000,6.100000,5.950000,6.000000,4.589063,16548000
2005-04-28,5.975000,6.000000,5.975000,6.000000,4.589063,12365144
2005-04-29,6.000000,6.000000,5.925000,5.950000,4.550821,8949000
2005-05-03,6.000000,6.000000,5.875000,5.875000,4.493458,15777000
2005-05-04,5.900000,5.975000,5.900000,5.975000,4.569942,14823000
2005-05-05,5.975000,6.125000,5.975000,6.075000,4.646426,22085626
2005-05-06,6.075000,6.125000,6.025000,6.050000,4.627306,9443368
2005-05-09,6.050000,6.425000,6.050000,6.375000,4.875880,39427442
2005-05-10,6.400000,6.400000,6.300000,6.300000,4.818516,23234000
2005-05-11,6.300000,6.325000,6.250000,6.300000,4.818516,11734122
2005-05-12,6.325000,6.425000,6.300000,6.400000,4.895000,13903066
2005-05-13,6.425000,6.425000,6.250000,6.300000,4.818516,18891900
2005-05-17,6.300000,6.325000,6.025000,6.100000,4.665548,25376000
2005-05-18,6.100000,6.175000,6.100000,6.150000,4.703790,12992000
2005-05-19,6.150000,6.225000,6.150000,6.200000,4.742031,13037000
2005-05-20,6.125000,6.200000,6.100000,6.200000,4.851583,8773718
2005-05-23,6.200000,6.200000,6.000000,6.025000,4.714644,21960000
2005-05-24,6.050000,6.050000,6.000000,6.050000,4.734207,11640098
2005-05-25,6.050000,6.100000,6.000000,6.075000,4.753769,11393000
2005-05-26,6.025000,6.050000,6.000000,6.000000,4.695080,5778400
2005-05-27,6.050000,6.125000,6.050000,6.100000,4.773333,7745140
2005-05-30,6.100000,6.200000,6.075000,6.175000,4.832021,12959000
2005-05-31,6.175000,6.175000,6.075000,6.075000,4.753769,8838000
2005-06-01,6.075000,6.200000,6.050000,6.200000,4.851583,11303000
2005-06-02,6.175000,6.175000,6.050000,6.100000,4.773333,12029240
2005-06-03,6.000000,6.075000,6.000000,6.050000,4.734207,7319000
2005-06-06,6.025000,6.100000,6.025000,6.100000,4.773333,10013000
2005-06-07,6.100000,6.175000,6.100000,6.125000,4.792895,6763000
2005-06-08,6.100000,6.150000,6.100000,6.100000,4.773333,5021910
2005-06-09,6.125000,6.200000,6.050000,6.075000,4.753769,11708000
2005-06-10,6.125000,6.150000,6.075000,6.075000,4.753769,9255000
2005-06-13,6.100000,6.175000,6.100000,6.150000,4.812458,7148000
2005-06-14,6.175000,6.175000,6.075000,6.100000,4.773333,5990000
2005-06-15,6.075000,6.125000,6.075000,6.125000,4.792895,5495000
2005-06-16,6.100000,6.175000,6.075000,6.150000,4.812458,24219000
2005-06-17,6.150000,6.175000,6.125000,6.175000,4.832021,8481378
2005-06-20,6.175000,6.250000,6.150000,6.175000,4.832021,17794000
2005-06-21,6.175000,6.300000,6.175000,6.275000,4.910271,17011000
2005-06-22,6.275000,6.300000,6.250000,6.300000,4.929834,8816000
2005-06-23,6.300000,6.325000,6.250000,6.300000,4.929834,13670344
2005-06-24,6.200000,6.250000,6.175000,6.175000,4.832021,8281874
2005-06-27,6.225000,6.250000,6.175000,6.250000,4.890709,5994604
2005-06-28,6.250000,6.275000,6.225000,6.275000,4.910271,13967000
